GateV1,DrainI1,GateV2,DrainI2,GateV (after 20 months),DrainI (after 20 months)
-19.9956,1.5118E-12,-29.998,1.796E-12,-40,1.1834E-09
-18.997,1.1017E-12,-28.9981,1.9312E-12,-39,2.6555E-09
-17.9971,8.295713E-13,-27.9984,1.21679E-11,-38,3.6492E-09
-16.9973,7.426747E-13,-26.9984,1.3096E-11,-37,6.9447E-09
-15.9971,7.339676E-13,-25.9982,1.3414E-11,-36,1.10632E-08
-14.9972,6.62047E-13,-24.9984,1.17258E-11,-35,1.68572E-08
-13.9973,6.576841E-13,-23.9986,9.5172E-12,-34,2.40869E-08
-12.9972,5.996083E-13,-22.9985,6.8343E-12,-33,3.7521E-08
-11.9971,6.015101E-13,-21.9988,7.4672E-12,-32,6.33739E-08
-10.9973,5.77792E-13,-20.999,9.2818E-12,-31,1.012748E-07
-9.9974,5.868322E-13,-19.9956,9.3426E-12,-30,1.483793E-07
-8.9973,6.006789E-13,-18.997,9.9747E-12,-29,2.212595E-07
-7.9974,8.759518E-13,-17.9972,1.0649E-11,-28,3.38267E-07
-6.9976,2.3987E-12,-16.9972,1.04779E-11,-27,4.851694E-07
-5.9988,1.20149E-11,-15.9972,8.9222E-12,-26,6.600429E-07
-4.9991,3.52044E-11,-14.9972,-5.8542E-12,-25,9.295627E-07
-3.9991,9.61149E-11,-13.9974,-3.6706E-11,-24,1.2644E-06
-2.9993,2.190728E-10,-12.9973,-8.07924E-11,-23,1.6266E-06
-1.9993,2.438895E-10,-11.9973,-3.34584E-11,-22,2.0691E-06
-0.9991281,3.068423E-10,-10.9973,3.5886E-11,-21,2.5917E-06
0.000609939,9.693493E-10,-9.9975,8.88079E-11,-20,3.2302E-06
0.9996673,1.6279E-09,-8.9973,2.109394E-10,-19,3.9521E-06
1.9997,3.6949E-09,-7.9974,8.087511E-10,-18,4.6181E-06
2.9999,4.8575E-09,-6.9975,3.3516E-09,-17,5.2113E-06
3.9999,7.188E-09,-5.9988,9.6593E-09,-16,6.3559E-06
4.9999,1.26072E-08,-4.9989,2.01026E-08,-15,7.5345E-06
6.0031,1.60518E-08,-3.9991,4.72441E-08,-14,8.9053E-06
7.0019,1.98624E-08,-2.9991,9.63178E-08,-13,1.04903E-05
8.002,2.75917E-08,-1.9991,1.547592E-07,-12,1.23372E-05
9.0019,5.07663E-08,-0.9989961,2.602829E-07,-11,1.38227E-05
10.0022,7.32625E-08,0.0008398327,3.903039E-07,-10,1.5701E-05
11.0023,8.39367E-08,0.9994252,5.56787E-07,-9,1.71905E-05
12.0023,9.95597E-08,1.9995,8.676968E-07,-8,1.90509E-05
13.0023,1.42776E-07,2.9996,1.1808E-06,-7,2.09462E-05
14.0026,2.109218E-07,3.9997,1.5666E-06,-6,2.28631E-05
15.0026,2.263549E-07,4.9998,2.0771E-06,-5,2.56992E-05
16.0027,2.902441E-07,6.0029,2.4796E-06,-4,2.72307E-05
17.003,3.383976E-07,7.0018,3.169E-06,-3,2.87591E-05
18.0029,4.408076E-07,8.0018,3.8204E-06,-2,3.12858E-05
19.0028,4.085401E-07,9.0018,4.6886E-06,-1,3.33861E-05
20.0016,5.800641E-07,10.0021,5.4352E-06,0,3.45226E-05
21.0017,5.66717E-07,11.0022,6.6262E-06,1,3.63264E-05
22.0017,6.44818E-07,12.0021,7.8079E-06,2,3.91036E-05
23.0017,7.270489E-07,13.0023,9.3517E-06,3,4.07058E-05
24.0019,8.298182E-07,14.0025,1.09836E-05,4,4.39918E-05
25.0017,8.971481E-07,15.0025,1.30476E-05,5,4.59647E-05
26.0018,1.196E-06,16.0026,1.47078E-05,6,4.77371E-05
27.002,1.1491E-06,17.0028,1.64023E-05,7,4.97816E-05
28.0021,1.2396E-06,18.0028,1.92652E-05,8,4.77462E-05
29.0017,1.328E-06,19.0027,2.18428E-05,9,5.30026E-05
30.0017,1.5384E-06,20.0014,2.40278E-05,10,5.56105E-05
31.0051,1.8306E-06,21.0015,2.63833E-05,11,5.82147E-05
32.005,1.8308E-06,22.0015,3.00736E-05,12,5.9901E-05
33.0048,1.731E-06,23.0014,3.29829E-05,13,6.20496E-05
34.0036,1.8375E-06,24.0016,3.61491E-05,14,6.46565E-05
35.0034,1.9602E-06,25.0015,3.89777E-05,15,6.61223E-05
36.0033,1.9542E-06,26.0014,4.2454E-05,16,6.97026E-05
37.0034,2.1678E-06,27.0017,4.71773E-05,17,7.35665E-05
38.0033,2.4299E-06,28.0017,4.89773E-05,18,7.35359E-05
39.0031,2.7052E-06,29.0016,5.56808E-05,19,7.86781E-05
40.0032,2.6651E-06,30.0014,6.08704E-05,20,8.07021E-05
41.0036,2.4717E-06,31.005,6.58033E-05,21,8.22378E-05
42.0036,2.8587E-06,32.0047,7.09498E-05,22,8.36343E-05
43.004,3.1823E-06,33.0046,7.52261E-05,23,8.79385E-05
44.0043,3.2801E-06,34.0034,8.0696E-05,24,9.16276E-05
45.0046,3.2686E-06,35.0034,8.64206E-05,25,9.33409E-05
46.0048,3.8432E-06,36.0032,9.13521E-05,26,9.40184E-05
47.0048,3.6784E-06,37.0034,9.74878E-05,27,9.59132E-05
48.0038,3.3876E-06,38.0033,0.0001047351,28,9.96107E-05
49.0039,3.8703E-06,39.0032,0.0001111435,29,0.0001009463
50.004,4.4657E-06,40.0032,0.0001172461,30,0.0001039877
51.0044,4.1827E-06,41.0035,0.0001261989,31,0.0001068249
52.0045,4.874E-06,42.0036,0.0001340522,32,0.000110963
53.0047,5.0049E-06,43.0039,0.0001405001,33,0.0001134017
54.0048,4.8168E-06,44.0042,0.0001476923,34,0.0001146551
55.0049,5.0287E-06,45.0045,0.0001546037,35,0.0001182539
56.0047,5.7361E-06,46.0046,0.000161868,36,0.0001184194
57.0081,6.1128E-06,47.0046,0.0001686484,37,0.0001215229
58.0081,5.8559E-06,48.0036,0.0001750466,38,0.0001247686
59.008,6.538E-06,49.0037,0.0001850571,39,0.0001291106
60.0079,6.6901E-06,50.0038,0.0001903294,40,0.0001314623
,,51.0041,0.0001989576,41,0.0001337074
,,52.0043,0.0002025743,42,0.0001361722
,,53.0044,0.0002108372,43,0.0001359402
,,54.0045,0.0002160399,44,0.0001376552
,,55.0046,0.0002198827,45,0.0001417107
,,56.0045,0.0002258187,46,0.000146968
,,57.0078,0.0002345552,47,0.0001477901
,,58.0078,0.000241579,48,0.0001513584
,,59.0077,0.0002453059,49,0.0001536646
,,60.0077,0.0002530111,50,0.0001588979
,,61.0063,0.000256569,51,0.0001594696
,,62.0063,0.0002642623,52,0.0001639509
,,63.0063,0.000267876,53,0.0001657992
,,64.0062,0.0002744272,54,0.0001706231
,,65.0062,0.000280575,55,0.0001710313
,,66.0061,0.0002861772,56,0.0001716202
,,67.006,0.0002905423,57,0.0001747075
,,68.0063,0.0002944901,58,0.0001786423
,,69.0065,0.0002944623,59,0.0001821713
,,70.0062,0.0002981325,60,0.0001858157
,,71.0063,0.0003012669,,
,,72.0065,0.0003086413,,
,,73.0065,0.0003123417,,
,,74.0063,0.0003148482,,
,,75.0052,0.0003198305,,
,,76.0051,0.0003233262,,
,,77.0051,0.0003243113,,
,,78.0051,0.0003264221,,
,,79.005,0.0003293945,,
,,80.005,0.0003342401,,
