GateV Before AlOx,DrainI Before AlOx,GateV After AlOx,DrainI After AlOx,GateV after 21 months,DrainI after 21 months,GateV after 21mo + N2 anneal,DrainI after 21mo + N2 anneal
-19.9957,9.19920182450959E-13,-29.9978,2.16886065266795E-12,-40,6.05862582325756E-11,-40,1.27229446784768E-11
-18.9971,6.20962841080505E-13,-28.998,1.37660499319181E-12,-39,1.08568649239886E-10,-39,1.27406418748421E-11
-17.9972,3.83254743799963E-13,-27.9984,-2.96311275259666E-13,-38,2.11439851134944E-10,-38,1.28025790452105E-11
-16.9973,3.63701629011436E-13,-26.9983,1.18920451309413E-12,-37,4.52329574762228E-10,-37,1.29441566161333E-11
-15.9971,3.2294592724662E-13,-25.9982,4.18653148078714E-12,-36,9.13836446128273E-10,-36,1.22716631542498E-11
-14.9972,2.85507624863872E-13,-24.9984,3.98717743604169E-12,-35,1.80255694428781E-09,-35,1.25946415132831E-11
-13.9973,2.49173723811476E-13,-23.9986,3.73976815698748E-12,-34,3.79881401697631E-09,-34,1.26610014742876E-11
-12.9971,2.28917126800292E-13,-22.9985,3.76709080596171E-12,-33,6.74507406450215E-09,-33,1.26919670425614E-11
-11.9972,2.37406924772715E-13,-21.9988,4.81048662558526E-12,-32,1.22883060249063E-08,-32,1.25990643039193E-11
-10.9973,2.35282053501931E-13,-20.9988,9.54132983370563E-12,-31,2.06835236860531E-08,-31,1.28247050660328E-11
-9.9974,2.12518663219899E-13,-19.9955,2.21154405175368E-11,-30,3.71192128242278E-08,-30,1.26963958670184E-11
-8.9974,2.12218551344632E-13,-18.997,5.3829833103058E-11,-29,5.86542710053713E-08,-29,1.24707551049049E-11
-7.9975,2.13574251882876E-13,-17.9971,1.23869441274231E-10,-28,9.31187077205085E-08,-28,1.29176138384957E-11
-6.9976,1.78780884269519E-13,-16.9972,2.77404234848711E-10,-27,1.37551719193573E-07,-27,1.22981998980667E-11
-5.9989,2.00688108379474E-13,-15.9971,8.12343622321212E-10,-26,1.93166442841175E-07,-26,1.24884523012702E-11
-4.9991,2.08437891229951E-13,-14.9971,1.66872911624138E-09,-25,2.49346103571398E-07,-25,1.26521558930154E-11
-3.9992,2.03809832839022E-13,-13.9972,3.02055115219485E-09,-24,3.52398699207064E-07,-24,1.27008186576545E-11
-2.9992,2.65710305320799E-13,-12.9972,6.20119723686971E-09,-23,4.57719421398866E-07,-23,1.28247050660328E-11
-1.9993,2.93336035941466E-13,-11.9972,1.12853224350048E-08,-22,5.97366253081735E-07,-22,1.3696302546213E-11
-0.9992081,5.29719827407542E-13,-10.9973,1.91659882167859E-08,-21,7.43006654849286E-07,-21,1.77711287714474E-11
0.0006199358,1.11833483672279E-12,-9.9974,2.90104435160411E-08,-20,9.3571207284897E-07,-20,4.68656876591613E-11
0.9996374,1.50907960267447E-12,-8.9973,4.92832163484744E-08,-19,1.15604447985432E-06,-19,2.47775616449407E-10
1.9997,4.79262991008287E-12,-7.9973,7.93018582202342E-08,-18,1.43273293519008E-06,-18,1.19357432150418E-09
2.9999,1.12508115746518E-11,-6.9975,1.21500237503863E-07,-17,1.75603141226178E-06,-17,4.08414210663404E-09
3.9999,1.87431893677146E-11,-5.9988,1.8657295225674E-07,-16,2.07790830957136E-06,-16,1.06711300665428E-08
4.9999,3.89209950500619E-11,-4.999,2.70756646861391E-07,-15,2.34721641311847E-06,-15,2.25338063184767E-08
6.0031,7.85305757620437E-11,-3.999,3.81271819526813E-07,-14,2.74855783968435E-06,-14,4.37582522873408E-08
7.0019,1.26478634329082E-10,-2.9991,5.32097057815839E-07,-13,3.20186166430611E-06,-13,7.55119962693994E-08
8.0019,2.54660061154541E-10,-1.999,7.30098849010613E-07,-12,3.71708586538696E-06,-12,1.21650056984357E-07
9.0018,4.54141651820682E-10,-0.9989661,9.89282497080833E-07,-11,4.22866714475474E-06,-11,1.92857684218641E-07
10.0022,6.12901999683958E-10,0.0007698541,1.28816460030224E-06,-10,4.81620151296501E-06,-10,2.77068564806225E-07
11.0023,9.46498821348215E-10,0.9994752,1.64466319288097E-06,-9,5.43563621012373E-06,-9,4.04925947844711E-07
12.0022,1.33611160782597E-09,1.9995,2.09706108169326E-06,-8,6.25626062569411E-06,-8,5.79476294581622E-07
13.0022,1.92128921468012E-09,2.9996,2.59957766462796E-06,-7,6.95735054804296E-06,-7,7.96107503012299E-07
14.0026,2.4230916789955E-09,3.9997,3.18201352416983E-06,-6,7.73514329921454E-06,-6,1.0705466395492E-06
15.0026,3.15051212171709E-09,4.9997,3.79951455650608E-06,-5,8.20347850094549E-06,-5,1.40647681173109E-06
16.0027,4.10144498074339E-09,6.003,4.57070398071032E-06,-4,8.95149281385112E-06,-4,1.79877015002801E-06
17.003,5.5244751768382E-09,7.0018,5.39421465794515E-06,-3,9.80475069018607E-06,-3,2.26055560589252E-06
18.0029,7.35832187452299E-09,8.0018,6.15514972710314E-06,-2,1.08358195259074E-05,-2,2.83660345145187E-06
19.0029,8.55346634100739E-09,9.0018,7.22249118869355E-06,-1,1.18664715757958E-05,-1,3.47415429448871E-06
20.0016,9.98968482814116E-09,10.0021,8.20946297608316E-06,0,1.28293805059714E-05,0,4.15447373044394E-06
21.0018,1.28132750786414E-08,11.0022,9.3934669047999E-06,1,1.37050459591631E-05,1,4.96659911574249E-06
22.0017,1.44516746395904E-08,12.0022,1.0655425601568E-05,2,1.45786686081682E-05,2,5.81376772733284E-06
23.0016,1.8553619317236E-08,13.0022,1.18441051239168E-05,3,1.56912479407923E-05,3,6.75056466918803E-06
24.0019,2.11909624147705E-08,14.0025,1.33158360056215E-05,4,1.65044469252715E-05,4,7.87358183752867E-06
25.0017,2.52326422558168E-08,15.0025,1.46256886933849E-05,5,1.75512183847351E-05,5,9.02639958835409E-06
26.0018,3.01968305433073E-08,16.0026,1.60325789297728E-05,6,1.90034663081979E-05,6,1.02547876493823E-05
27.002,3.52392032462613E-08,17.0029,1.75934885350137E-05,7,1.98960380815982E-05,7,1.15612103558226E-05
28.0021,3.76787714072713E-08,18.0028,1.91716342511506E-05,8,2.12191361756793E-05,8,1.29939800662333E-05
29.0018,4.60729997148914E-08,19.0027,2.08767090478669E-05,9,2.17124571740303E-05,9,1.45009819433377E-05
30.0017,5.01864520955401E-08,20.0015,2.20998860996864E-05,10,2.27284054626184E-05,10,1.61740709976901E-05
31.0052,6.49150360518631E-08,21.0016,2.3802580392879E-05,11,2.39508928801945E-05,11,1.7788310208783E-05
32.005,6.38552955439556E-08,22.0015,2.5494027004638E-05,12,2.5451065638386E-05,12,1.95714275595611E-05
33.0048,7.3903154513929E-08,23.0015,2.73261273674586E-05,13,2.71551012385475E-05,13,2.14578983065186E-05
34.0037,8.49052970925581E-08,24.0017,2.91926730626627E-05,14,2.81728305550211E-05,14,2.32451550444872E-05
35.0035,1.07953190348306E-07,25.0014,3.13108340260046E-05,15,2.93689283906766E-05,15,2.53576470878097E-05
36.0033,1.18705506101042E-07,26.0015,3.31587184716583E-05,16,3.05339389065604E-05,16,2.73244950221851E-05
