Time(1),DrainI(1),DrainV(1),Time(1),SourceI(1),SourceV(1),GateI(1),GateV(1),,,,,,,,,Time(3),DrainI(3),DrainV(3),Time(3),SourceI(3),SourceV(3),GateI(3),GateV(3),,,,,,,,,Time(5),DrainI(5),DrainV(5),Time(5),SourceI(5),SourceV(5),GateI(5),GateV(5),Time(2),DrainI(2),DrainV(2),Time(2),SourceI(2),SourceV(2),GateI(2),GateV(2)
0.3410016,3.05178E-08,0,0.3410111,-3.02401E-08,8.6278E-06,9.7222E-09,0,,,,,,,,,12.1959,-1.05045E-08,0,12.1961,1.00407E-08,-9.046053E-07,-3.25565E-08,10,,,,,,,,,24.4486,3.81821E-08,0,24.449,-3.79142E-08,7.6244E-06,3.52053E-08,20,4.0614,1.189725E-07,0,4.0615,-2.359104E-07,-4.10434E-05,2.752818E-07,30
0.754939,6.8077E-06,0.05,0.7549504,-6.808E-06,-1.59578E-05,5.8992E-09,0,,,,,,,,,12.6684,1.64822E-05,0.05,12.6686,-1.64823E-05,2.91962E-05,-3.1266E-09,10,,,,,,,,,25.1426,2.70771E-05,0.05,25.143,-2.70788E-05,2.91962E-05,-1.20307E-08,20,4.3503,3.52817E-05,0.05,4.3503,-3.54105E-05,3.42134E-05,2.982226E-07,30
0.9209585,1.35557E-05,0.1,0.9209728,-1.35566E-05,3.42134E-05,8.2609E-09,0,,,,,,,,,12.6964,3.28441E-05,0.1,12.6966,-3.28452E-05,-2.09749E-05,-1.35161E-08,10,,,,,,,,,25.2922,5.39086E-05,0.1,25.2926,-5.39265E-05,-5.9236E-06,-1.25317E-08,20,4.4913,7.08009E-05,0.1,4.4914,-7.09528E-05,1.41448E-05,2.750117E-07,30
0.9488832,2.02726E-05,0.15,0.9488994,-2.02766E-05,1.41448E-05,-8.7064E-09,0,,,,,,,,,12.7169,4.90813E-05,0.15,12.7171,-4.90819E-05,-1.09407E-05,5.3364E-09,10,,,,,,,,,25.3127,8.06084E-05,0.15,25.3131,-8.06263E-05,2.91962E-05,-1.07773E-08,20,4.5045,0.0001061475,0.15,4.5046,-0.0001062894,2.41791E-05,2.679423E-07,30
0.969339,2.69426E-05,0.2,0.9693542,-2.69456E-05,-9.064679E-07,-1.2362E-08,0,,,,,,,,,12.874,6.52739E-05,0.2,12.8742,-6.52799E-05,3.42134E-05,9.3003E-09,10,,,,,,,,,25.3438,0.0001071091,0.2,25.3442,-0.0001071395,-9.064679E-07,-8.9459E-09,20,4.5177,0.0001415167,0.2,4.5178,-0.0001416664,3.92305E-05,3.107352E-07,30
0.9897966,3.34904E-05,0.25,0.9898128,-3.34919E-05,-3.10092E-05,-2.74E-09,0,,,,,,,,,12.8944,8.13851E-05,0.25,12.8947,-8.14133E-05,2.91962E-05,-1.05757E-08,10,,,,,,,,,25.3644,0.0001334181,0.25,25.3648,-0.0001334357,-1.09407E-05,9.6695E-09,20,4.531,0.0001763841,0.25,4.531,-0.0001765288,1.9162E-05,2.712658E-07,30
1.0177,4.01167E-05,0.3,1.0177,-4.01187E-05,2.41791E-05,-1.48044E-08,0,,,,,,,,,12.9149,9.73854E-05,0.3,12.9151,-9.74029E-05,-9.064679E-07,-9.4159E-09,10,,,,,,,,,25.3849,0.0001595733,0.3,25.3853,-0.0001595831,9.1277E-06,1.50453E-08,20,4.5442,0.0002112439,0.3,4.5443,-0.0002113962,1.41448E-05,2.443777E-07,30
1.0382,4.66441E-05,0.35,1.0382,-4.66463E-05,1.9162E-05,5.4185E-09,0,,,,,,,,,12.9354,0.0001133705,0.35,12.9356,-0.0001134052,-1.09407E-05,9.5594E-09,10,,,,,,,,,25.4054,0.0001856351,0.35,25.4058,-0.0001856397,-2.09749E-05,4.3087E-09,20,4.5574,0.0002459676,0.35,4.5575,-0.0002461173,1.9162E-05,2.687592E-07,30
1.1952,5.32378E-05,0.4,1.1952,-5.32606E-05,3.42134E-05,9.3593E-09,0,,,,,,,,,12.9559,0.0001293052,0.4,12.9561,-0.0001293267,-9.064679E-07,1.35344E-08,10,,,,,,,,,25.4334,0.0002115104,0.4,25.4338,-0.0002115299,-1.59578E-05,1.71447E-08,20,4.5707,0.0002803508,0.4,4.5708,-0.0002804853,4.1106E-06,2.63947E-07,30
1.2157,5.98321E-05,0.45,1.2157,-5.98466E-05,4.1106E-06,-1.01732E-08,0,,,,,,,,,12.9764,0.0001452525,0.45,12.9766,-0.0001452835,-2.09749E-05,4.0638E-09,10,,,,,,,,,25.4539,0.000237315,0.45,25.4543,-0.0002373216,4.1106E-06,-3.7357E-09,20,4.5839,0.000314212,0.45,4.584,-0.0003143437,1.41448E-05,2.989478E-07,30
1.2361,6.63028E-05,0.5,1.2362,-6.63065E-05,2.41791E-05,-1.15747E-08,0,,,,,,,,,13.0045,0.0001609854,0.5,13.0047,-0.0001610033,9.1277E-06,1.59842E-08,10,,,,,,,,,25.4819,0.0002628776,0.5,25.4823,-0.0002628914,3.92305E-05,1.40385E-08,20,4.5972,0.0003475689,0.5,4.5973,-0.0003477203,-5.9236E-06,2.63858E-07,30
1.2566,7.27785E-05,0.55,1.2566,-7.27917E-05,2.91962E-05,-4.7701E-09,0,,,,,,,,,13.025,0.0001771193,0.55,13.0252,-0.0001771367,3.42134E-05,-3.8551E-09,10,,,,,,,,,25.5024,0.0002883922,0.55,25.5028,-0.0002884032,1.41448E-05,1.24876E-08,20,4.6104,0.0003804794,0.55,4.6105,-0.0003806279,-5.9236E-06,2.265032E-07,30
1.2846,7.94485E-05,0.6,1.2846,-7.94584E-05,-1.09407E-05,-1.46704E-08,0,,,,,,,,,13.053,0.0001927943,0.6,13.0532,-0.0001928034,-2.09749E-05,1.37241E-08,10,,,,,,,,,25.5229,0.0003135488,0.6,25.5233,-0.0003135593,-1.59578E-05,9.7611E-09,20,4.6237,0.0004128882,0.6,4.6238,-0.0004130182,1.41448E-05,2.610842E-07,30
1.305,8.58612E-05,0.65,1.305,-8.58881E-05,-2.09749E-05,4.263E-09,0,,,,,,,,,13.0735,0.0002085524,0.65,13.0737,-0.0002085635,-2.59921E-05,1.07029E-08,10,,,,,,,,,25.551,0.0003378026,0.65,25.5514,-0.0003378249,9.1277E-06,1.61759E-08,20,4.6369,0.0004446993,0.65,4.637,-0.0004448638,-1.09407E-05,2.584783E-07,30
1.333,9.24428E-05,0.7,1.333,-9.24615E-05,2.41791E-05,-1.29334E-08,0,,,,,,,,,13.094,0.0002244014,0.7,13.0943,-0.0002244093,4.1106E-06,-9.0537E-09,10,,,,,,,,,25.5715,0.0003624775,0.7,25.5719,-0.0003624992,-2.09749E-05,1.4575E-09,20,4.6501,0.0004758875,0.7,4.6502,-0.0004760233,-4.10434E-05,2.828089E-07,30
1.3535,9.87774E-05,0.75,1.3535,-9.87877E-05,-1.09407E-05,-9.426E-09,0,,,,,,,,,13.1146,0.0002400259,0.75,13.1148,-0.0002400483,-2.09749E-05,-1.02089E-08,10,,,,,,,,,25.5995,0.0003868019,0.75,25.5999,-0.0003868103,1.41448E-05,1.67943E-08,20,4.7915,0.0005061316,0.75,4.7916,-0.0005065328,1.9162E-05,2.452684E-07,30
1.374,0.0001053364,0.8,1.374,-0.0001053536,-1.59578E-05,1.01738E-08,0,,,,,,,,,13.1351,0.0002554209,0.8,13.1353,-0.0002554553,-5.9236E-06,8.2243E-09,10,,,,,,,,,25.62,0.0004109044,0.8,25.6204,-0.0004109171,3.42134E-05,8.8657E-09,20,4.8046,0.0005358303,0.8,4.8047,-0.000536141,-5.9236E-06,2.487394E-07,30
1.3944,0.0001119912,0.85,1.3944,-0.0001120027,1.9162E-05,1.15394E-08,0,,,,,,,,,13.1557,0.0002710984,0.85,13.1559,-0.0002711246,-1.09407E-05,1.40004E-08,10,,,,,,,,,25.6405,0.0004351052,0.85,25.6409,-0.0004351298,-2.09749E-05,-1.1035E-08,20,4.8178,0.0005651257,0.85,4.8179,-0.0005654971,-1.59578E-05,2.89606E-07,30
1.4149,0.0001186081,0.9,1.4149,-0.0001186493,-1.59578E-05,4.7564E-09,0,,,,,,,,,13.1762,0.0002865741,0.9,13.1764,-0.0002865794,1.9162E-05,3.1137E-09,10,,,,,,,,,25.661,0.0004582596,0.9,25.6614,-0.0004582882,-2.09749E-05,1.22028E-08,20,4.8311,0.0005937403,0.9,4.8312,-0.0005939956,-1.59578E-05,2.463804E-07,30
1.4428,0.0001250183,0.95,1.4428,-0.0001250361,9.1277E-06,1.47155E-08,0,,,,,,,,,13.2042,0.0003013311,0.95,13.2044,-0.0003013457,-1.59578E-05,1.60018E-08,10,,,,,,,,,25.689,0.0004816005,0.95,25.6894,-0.0004816331,-2.09749E-05,6.6625E-09,20,4.8443,0.0006214726,0.95,4.8444,-0.0006218133,-1.09407E-05,2.324656E-07,30
1.4633,0.0001316176,1,1.4633,-0.0001316373,-1.59578E-05,-4.2826E-09,0,,,,,,,,,13.2247,0.000316885,1,13.2249,-0.0003169014,1.41448E-05,-4.5398E-09,10,,,,,,,,,25.8462,0.000503665,1,25.8466,-0.0005038595,3.42134E-05,3.9676E-09,20,4.8576,0.0006484485,1,4.8576,-0.0006488995,4.1106E-06,2.473856E-07,30
