Time(1)	DrainI(1)	DrainV(1)	Time(1)	SourceI(1)	SourceV(1)	GateI(1)	GateV(1)	Time(2)	DrainI(2)	DrainV(2)	Time(2)	SourceI(2)	SourceV(2)	GateI(2)	GateV(2)	Time(3)	DrainI(3)	DrainV(3)	Time(3)	SourceI(3)	SourceV(3)	GateI(3)	GateV(3)	Time(4)	DrainI(4)	DrainV(4)	Time(4)	SourceI(4)	SourceV(4)	GateI(4)	GateV(4)
314.5876E-3	-2.1998E-6	000.0000E-3	314.5962E-3	2.1960E-6	74.3503E-6	133.9472E-9	25.0000E+0	4.0614E+0	118.9725E-9	000.0000E-3	4.0615E+0	-235.9104E-9	-41.0434E-6	275.2818E-9	30.0000E+0	8.2395E+0	38.2281E-9	000.0000E-3	8.2397E+0	-42.3146E-9	19.6652E-6	96.4584E-9	25.0000E+0								
464.3605E-3	32.1306E-6	50.0000E-3	464.3624E-3	-32.1357E-6	-15.9578E-6	131.4712E-9	25.0000E+0	4.3503E+0	35.2817E-6	50.0000E-3	4.3503E+0	-35.4105E-6	34.2134E-6	298.2226E-9	30.0000E+0																
605.4758E-3	64.3782E-6	100.0000E-3	605.4911E-3	-64.4021E-6	-10.9407E-6	134.4944E-9	25.0000E+0	4.4913E+0	70.8009E-6	100.0000E-3	4.4914E+0	-70.9528E-6	14.1448E-6	275.0117E-9	30.0000E+0																
618.6427E-3	96.5877E-6	150.0000E-3	618.6427E-3	-96.6184E-6	14.1448E-6	134.2119E-9	25.0000E+0	4.5045E+0	106.1475E-6	150.0000E-3	4.5046E+0	-106.2894E-6	24.1791E-6	267.9423E-9	30.0000E+0																
631.8460E-3	128.6914E-6	200.0000E-3	631.8564E-3	-128.7213E-6	-10.9407E-6	136.4920E-9	25.0000E+0	4.5177E+0	141.5167E-6	200.0000E-3	4.5178E+0	-141.6664E-6	39.2305E-6	310.7352E-9	30.0000E+0																
645.1435E-3	160.6260E-6	250.0000E-3	645.1483E-3	-160.6552E-6	14.1448E-6	89.0039E-9	25.0000E+0	4.5310E+0	176.3841E-6	250.0000E-3	4.5310E+0	-176.5288E-6	19.1620E-6	271.2658E-9	30.0000E+0																
658.3400E-3	192.5355E-6	300.0000E-3	658.3495E-3	-192.5487E-6	24.1791E-6	129.3641E-9	25.0000E+0	4.5442E+0	211.2439E-6	300.0000E-3	4.5443E+0	-211.3962E-6	14.1448E-6	244.3777E-9	30.0000E+0																
671.6127E-3	224.1625E-6	350.0000E-3	671.6280E-3	-224.1899E-6	4.1106E-6	149.5289E-9	25.0000E+0	4.5574E+0	245.9676E-6	350.0000E-3	4.5575E+0	-246.1173E-6	19.1620E-6	268.7592E-9	30.0000E+0																
684.8350E-3	255.5323E-6	400.0000E-3	684.8474E-3	-255.5587E-6	-906.4679E-9	128.3589E-9	25.0000E+0	4.5707E+0	280.3508E-6	400.0000E-3	4.5708E+0	-280.4853E-6	4.1106E-6	263.9470E-9	30.0000E+0																
698.0867E-3	286.6273E-6	450.0000E-3	698.0982E-3	-286.6526E-6	-15.9578E-6	136.3164E-9	25.0000E+0	4.5839E+0	314.2120E-6	450.0000E-3	4.5840E+0	-314.3437E-6	14.1448E-6	298.9478E-9	30.0000E+0																
711.3271E-3	317.4776E-6	500.0000E-3	711.3385E-3	-317.5093E-6	24.1791E-6	93.2588E-9	25.0000E+0	4.5972E+0	347.5689E-6	500.0000E-3	4.5973E+0	-347.7203E-6	-5.9236E-6	263.8580E-9	30.0000E+0																
724.5503E-3	347.6345E-6	550.0000E-3	724.5608E-3	-347.6497E-6	9.1277E-6	126.3485E-9	25.0000E+0	4.6104E+0	380.4794E-6	550.0000E-3	4.6105E+0	-380.6279E-6	-5.9236E-6	226.5032E-9	30.0000E+0																
737.8402E-3	377.4787E-6	600.0000E-3	737.8459E-3	-377.5076E-6	19.1620E-6	159.7003E-9	25.0000E+0	4.6237E+0	412.8882E-6	600.0000E-3	4.6238E+0	-413.0182E-6	14.1448E-6	261.0842E-9	30.0000E+0																
751.0481E-3	406.4125E-6	650.0000E-3	751.0596E-3	-406.4322E-6	-25.9921E-6	124.2695E-9	25.0000E+0	4.6369E+0	444.6993E-6	650.0000E-3	4.6370E+0	-444.8638E-6	-10.9407E-6	258.4783E-9	30.0000E+0																
764.3466E-3	435.3136E-6	700.0000E-3	764.3647E-3	-435.3417E-6	-10.9407E-6	132.9192E-9	25.0000E+0	4.6501E+0	475.8875E-6	700.0000E-3	4.6502E+0	-476.0233E-6	-41.0434E-6	282.8089E-9	30.0000E+0																
777.5736E-3	463.8667E-6	750.0000E-3	777.5851E-3	-463.8930E-6	-906.4679E-9	100.9797E-9	25.0000E+0	4.7915E+0	506.1316E-6	750.0000E-3	4.7916E+0	-506.5328E-6	19.1620E-6	245.2684E-9	30.0000E+0																
790.8350E-3	491.5170E-6	800.0000E-3	790.8445E-3	-491.5614E-6	-25.9921E-6	122.8469E-9	25.0000E+0	4.8046E+0	535.8303E-6	800.0000E-3	4.8047E+0	-536.1410E-6	-5.9236E-6	248.7394E-9	30.0000E+0																
