Time(1)	SourceI(1)	SourceV(1)	Time(1)	DrainI(1)	DrainV(1)	GateI(1)	GateV(1)	PEAK_ID(1)	Time(2)	SourceI(2)	SourceV(2)	Time(2)	DrainI(2)	DrainV(2)	GateI(2)	GateV(2)	PEAK_ID(2)	Time(3)	SourceI(3)	SourceV(3)	Time(3)	DrainI(3)	DrainV(3)	GateI(3)	GateV(3)	PEAK_ID(3)	Time(4)	SourceI(4)	SourceV(4)	Time(4)	DrainI(4)	DrainV(4)	GateI(4)	GateV(4)	PEAK_ID(4)
391.6897E-3	-451.9660E-12	000.0000E-3	393.9182E-3	738.4397E-12	2.0000E+0	-99.8860E-9	-20.0000E+0	1.0585E-3	21.3481E+0	-997.2420E-12	000.0000E-3	21.3500E+0	1.4143E-9	3.0000E+0	-97.5755E-9	-20.0000E+0	1.2811E-3	41.9844E+0	-1.7202E-9	000.0000E-3	41.9860E+0	2.1576E-9	4.0000E+0	-96.3447E-9	-20.0000E+0	1.4179E-3	62.7394E+0	-2.4555E-9	000.0000E-3	62.7406E+0	2.9446E-9	5.0000E+0	-95.4302E-9	-20.0000E+0	1.5067E-3
443.0860E-3	-1.5134E-9	000.0000E-3	445.3049E-3	1.6984E-9	2.0000E+0	-96.8087E-9	-19.5000E+0		21.3994E+0	-2.8932E-9	000.0000E-3	21.4014E+0	3.1734E-9	3.0000E+0	-94.1001E-9	-19.5000E+0		42.0358E+0	-4.7695E-9	000.0000E-3	42.0374E+0	5.0566E-9	4.0000E+0	-92.8580E-9	-19.5000E+0		62.9504E+0	-7.1814E-9	000.0000E-3	62.9697E+0	7.4914E-9	5.0000E+0	-92.1396E-9	-19.5000E+0	
494.4413E-3	-4.0442E-9	000.0000E-3	496.6755E-3	4.1070E-9	2.0000E+0	-94.1517E-9	-19.0000E+0		21.6106E+0	-7.5336E-9	000.0000E-3	21.6305E+0	7.6089E-9	3.0000E+0	-91.6198E-9	-19.0000E+0		42.2319E+0	-12.2382E-9	000.0000E-3	42.2505E+0	12.0443E-9	4.0000E+0	-90.4065E-9	-19.0000E+0		63.0018E+0	-18.0584E-9	000.0000E-3	63.0201E+0	19.1128E-9	5.0000E+0	-89.1358E-9	-19.0000E+0	
693.0808E-3	-9.8542E-9	000.0000E-3	712.3289E-3	10.0271E-9	2.0000E+0	-91.7472E-9	-18.5000E+0		21.6619E+0	-17.5336E-9	000.0000E-3	21.6809E+0	18.0162E-9	3.0000E+0	-88.7236E-9	-18.5000E+0		42.2823E+0	-28.7214E-9	000.0000E-3	42.3009E+0	29.7366E-9	4.0000E+0	-87.5534E-9	-18.5000E+0		63.0522E+0	-44.4669E-9	000.0000E-3	63.0704E+0	46.0547E-9	5.0000E+0	-86.6242E-9	-18.5000E+0	
743.4343E-3	-20.9242E-9	000.0000E-3	762.6986E-3	21.2824E-9	2.0000E+0	-88.6293E-9	-18.0000E+0		21.7123E+0	-38.9500E-9	000.0000E-3	21.7312E+0	40.0130E-9	3.0000E+0	-85.9297E-9	-18.0000E+0		42.5014E+0	-67.0815E-9	000.0000E-3	42.5200E+0	67.4057E-9	4.0000E+0	-85.2213E-9	-18.0000E+0		63.2713E+0	-105.7664E-9	000.0000E-3	63.2703E+0	105.7315E-9	5.0000E+0	-84.2369E-9	-18.0000E+0	
793.7907E-3	-43.1371E-9	000.0000E-3	813.0522E-3	44.0478E-9	2.0000E+0	-85.5447E-9	-17.5000E+0		21.9315E+0	-87.8973E-9	000.0000E-3	21.9311E+0	87.8121E-9	3.0000E+0	-83.8127E-9	-17.5000E+0		42.5518E+0	-137.1920E-9	000.0000E-3	42.5511E+0	136.3626E-9	4.0000E+0	-81.9354E-9	-17.5000E+0		63.3030E+0	-205.9710E-9	000.0000E-3	63.3020E+0	205.1732E-9	5.0000E+0	-81.0620E-9	-17.5000E+0	
1.0129E+0	-89.7297E-9	000.0000E-3	1.0129E+0	89.7903E-9	2.0000E+0	-84.0241E-9	-17.0000E+0		21.9632E+0	-165.2845E-9	000.0000E-3	21.9628E+0	164.2157E-9	3.0000E+0	-80.3555E-9	-17.0000E+0		42.5835E+0	-264.8705E-9	000.0000E-3	42.5828E+0	263.1975E-9	4.0000E+0	-78.6427E-9	-17.0000E+0		63.3348E+0	-382.5355E-9	000.0000E-3	63.3338E+0	380.9021E-9	5.0000E+0	-77.7526E-9	-17.0000E+0	
1.0446E+0	-161.6128E-9	000.0000E-3	1.0446E+0	160.5603E-9	2.0000E+0	-80.4667E-9	-16.5000E+0		21.9950E+0	-306.5035E-9	000.0000E-3	21.9946E+0	305.0988E-9	3.0000E+0	-77.4858E-9	-16.5000E+0		42.6153E+0	-495.1070E-9	000.0000E-3	42.6146E+0	493.5300E-9	4.0000E+0	-76.2324E-9	-16.5000E+0		63.5353E+0	-759.6055E-9	000.0000E-3	63.5343E+0	759.0762E-9	5.0000E+0	-76.9496E-9	-16.5000E+0	
1.0763E+0	-296.1397E-9	000.0000E-3	1.0763E+0	295.1346E-9	2.0000E+0	-77.9382E-9	-16.0000E+0		22.1955E+0	-596.5545E-9	000.0000E-3	22.1952E+0	596.0849E-9	3.0000E+0	-76.4497E-9	-16.0000E+0		42.8158E+0	-963.7067E-9	000.0000E-3	42.8151E+0	963.2272E-9	4.0000E+0	-75.3124E-9	-16.0000E+0		63.5670E+0	-1.2463E-6	000.0000E-3	63.5660E+0	1.2447E-6	5.0000E+0	-73.5497E-9	-16.0000E+0	
1.2769E+0	-537.9836E-9	000.0000E-3	1.2768E+0	537.4615E-9	2.0000E+0	-76.5179E-9	-15.5000E+0		22.2272E+0	-955.0212E-9	000.0000E-3	22.2268E+0	953.6922E-9	3.0000E+0	-73.1420E-9	-15.5000E+0		42.8475E+0	-1.5501E-6	000.0000E-3	42.8468E+0	1.5486E-6	4.0000E+0	-71.8179E-9	-15.5000E+0		63.5987E+0	-2.0650E-6	000.0000E-3	63.5977E+0	2.0635E-6	5.0000E+0	-71.1746E-9	-15.5000E+0	
