Time(1)	DrainI(1)	DrainV(1)	Time(1)	SourceI(1)	SourceV(1)	GateI(1)	GateV(1)	Time(2)	DrainI(2)	DrainV(2)	Time(2)	SourceI(2)	SourceV(2)	GateI(2)	GateV(2)	Time(3)	DrainI(3)	DrainV(3)	Time(3)	SourceI(3)	SourceV(3)	GateI(3)	GateV(3)	Time(4)	DrainI(4)	DrainV(4)	Time(4)	SourceI(4)	SourceV(4)	GateI(4)	GateV(4)	Time(5)	DrainI(5)	DrainV(5)	Time(5)	SourceI(5)	SourceV(5)	GateI(5)	GateV(5)	Time(6)	DrainI(6)	DrainV(6)	Time(6)	SourceI(6)	SourceV(6)	GateI(6)	GateV(6)	Time(7)	DrainI(7)	DrainV(7)	Time(7)	SourceI(7)	SourceV(7)	GateI(7)	GateV(7)	Time(8)	DrainI(8)	DrainV(8)	Time(8)	SourceI(8)	SourceV(8)	GateI(8)	GateV(8)	Time(9)	DrainI(9)	DrainV(9)	Time(9)	SourceI(9)	SourceV(9)	GateI(9)	GateV(9)	Time(10)	DrainI(10)	DrainV(10)	Time(10)	SourceI(10)	SourceV(10)	GateI(10)	GateV(10)	Time(11)	DrainI(11)	DrainV(11)	Time(11)	SourceI(11)	SourceV(11)	GateI(11)	GateV(11)	Time(12)	DrainI(12)	DrainV(12)	Time(12)	SourceI(12)	SourceV(12)	GateI(12)	GateV(12)
341.0016E-3	30.5178E-9	000.0000E-3	341.0111E-3	-30.2401E-9	8.6278E-6	9.7222E-9	000.0000E-3	6.2593E+0	7.8654E-9	000.0000E-3	6.2594E+0	-8.5562E-9	-3.4131E-6	-7.4625E-9	5.0000E+0	12.1959E+0	-10.5045E-9	000.0000E-3	12.1961E+0	10.0407E-9	-904.6053E-9	-32.5565E-9	10.0000E+0	18.2149E+0	24.1546E-9	000.0000E-3	18.2152E+0	-24.5411E-9	16.6552E-6	-197.9113E-12	15.0000E+0	24.4486E+0	38.1821E-9	000.0000E-3	24.4490E+0	-37.9142E-9	7.6244E-6	35.2053E-9	20.0000E+0	30.7092E+0	30.1451E-9	000.0000E-3	30.7097E+0	-31.5327E-9	14.6484E-6	5.7848E-9	25.0000E+0	37.4161E+0	41.3524E-9	000.0000E-3	37.4167E+0	-40.9566E-9	11.6381E-6	-12.0776E-9	000.0000E-3																																								
754.9390E-3	6.8077E-6	50.0000E-3	754.9504E-3	-6.8080E-6	-15.9578E-6	5.8992E-9	000.0000E-3	6.8427E+0	11.3335E-6	50.0000E-3	6.8428E+0	-11.3376E-6	-20.9749E-6	10.2712E-9	5.0000E+0	12.6684E+0	16.4822E-6	50.0000E-3	12.6686E+0	-16.4823E-6	29.1962E-6	-3.1266E-9	10.0000E+0	18.9088E+0	21.7833E-6	50.0000E-3	18.9091E+0	-21.7868E-6	-10.9407E-6	-8.3882E-9	15.0000E+0	25.1426E+0	27.0771E-6	50.0000E-3	25.1430E+0	-27.0788E-6	29.1962E-6	-12.0307E-9	20.0000E+0	31.4032E+0	31.6455E-6	50.0000E-3	31.4037E+0	-31.6495E-6	19.1620E-6	8.8324E-9	25.0000E+0	37.9925E+0	6.9676E-6	50.0000E-3	37.9931E+0	-6.9684E-6	-906.4679E-9	12.0059E-9	000.0000E-3																																								
920.9585E-3	13.5557E-6	100.0000E-3	920.9728E-3	-13.5566E-6	34.2134E-6	8.2609E-9	000.0000E-3	6.8632E+0	22.6078E-6	100.0000E-3	6.8633E+0	-22.6109E-6	4.1106E-6	-9.4545E-9	5.0000E+0	12.6964E+0	32.8441E-6	100.0000E-3	12.6966E+0	-32.8452E-6	-20.9749E-6	-13.5161E-9	10.0000E+0	18.9293E+0	43.3814E-6	100.0000E-3	18.9296E+0	-43.3832E-6	-15.9578E-6	-9.9688E-9	15.0000E+0	25.2922E+0	53.9086E-6	100.0000E-3	25.2926E+0	-53.9265E-6	-5.9236E-6	-12.5317E-9	20.0000E+0	31.5602E+0	62.9943E-6	100.0000E-3	31.5607E+0	-63.0198E-6	-10.9407E-6	5.4730E-9	25.0000E+0	38.1510E+0	13.8307E-6	100.0000E-3	38.1516E+0	-13.8332E-6	4.1106E-6	-13.5326E-9	000.0000E-3																																								
948.8832E-3	20.2726E-6	150.0000E-3	948.8994E-3	-20.2766E-6	14.1448E-6	-8.7064E-9	000.0000E-3	6.8838E+0	33.7567E-6	150.0000E-3	6.8839E+0	-33.7579E-6	-15.9578E-6	-10.8130E-9	5.0000E+0	12.7169E+0	49.0813E-6	150.0000E-3	12.7171E+0	-49.0819E-6	-10.9407E-6	5.3364E-9	10.0000E+0	19.0789E+0	64.9688E-6	150.0000E-3	19.0792E+0	-64.9848E-6	-5.9236E-6	-11.0218E-9	15.0000E+0	25.3127E+0	80.6084E-6	150.0000E-3	25.3131E+0	-80.6263E-6	29.1962E-6	-10.7773E-9	20.0000E+0	31.5882E+0	94.2332E-6	150.0000E-3	31.5887E+0	-94.2474E-6	14.1448E-6	-10.6122E-9	25.0000E+0	38.1715E+0	20.6251E-6	150.0000E-3	38.1721E+0	-20.6262E-6	34.2134E-6	-9.5135E-9	000.0000E-3																																								
969.3390E-3	26.9426E-6	200.0000E-3	969.3542E-3	-26.9456E-6	-906.4679E-9	-12.3620E-9	000.0000E-3	6.9043E+0	44.8220E-6	200.0000E-3	6.9044E+0	-44.8229E-6	-10.9407E-6	-4.8148E-9	5.0000E+0	12.8740E+0	65.2739E-6	200.0000E-3	12.8742E+0	-65.2799E-6	34.2134E-6	9.3003E-9	10.0000E+0	19.0994E+0	86.2369E-6	200.0000E-3	19.0997E+0	-86.2715E-6	-10.9407E-6	-783.6335E-12	15.0000E+0	25.3438E+0	107.1091E-6	200.0000E-3	25.3442E+0	-107.1395E-6	-906.4679E-9	-8.9459E-9	20.0000E+0	31.6087E+0	125.1343E-6	200.0000E-3	31.6092E+0	-125.1622E-6	34.2134E-6	12.3361E-9	25.0000E+0	38.1919E+0	27.3448E-6	200.0000E-3	38.1925E+0	-27.3484E-6	-15.9578E-6	10.0960E-9	000.0000E-3																																								
989.7966E-3	33.4904E-6	250.0000E-3	989.8128E-3	-33.4919E-6	-31.0092E-6	-2.7400E-9	000.0000E-3	7.0614E+0	55.8982E-6	250.0000E-3	7.0615E+0	-55.9419E-6	-15.9578E-6	14.7671E-9	5.0000E+0	12.8944E+0	81.3851E-6	250.0000E-3	12.8947E+0	-81.4133E-6	29.1962E-6	-10.5757E-9	10.0000E+0	19.1274E+0	107.3991E-6	250.0000E-3	19.1277E+0	-107.4296E-6	-15.9578E-6	-13.2109E-9	15.0000E+0	25.3644E+0	133.4181E-6	250.0000E-3	25.3648E+0	-133.4357E-6	-10.9407E-6	9.6695E-9	20.0000E+0	31.6367E+0	155.7554E-6	250.0000E-3	31.6372E+0	-155.7718E-6	-25.9921E-6	10.3697E-9	25.0000E+0	38.2124E+0	34.0514E-6	250.0000E-3	38.2130E+0	-34.0555E-6	34.2134E-6	11.3321E-9	000.0000E-3																																								
1.0177E+0	40.1167E-6	300.0000E-3	1.0177E+0	-40.1187E-6	24.1791E-6	-14.8044E-9	000.0000E-3	7.0926E+0	66.9332E-6	300.0000E-3	7.0928E+0	-66.9422E-6	-906.4679E-9	10.0796E-9	5.0000E+0	12.9149E+0	97.3854E-6	300.0000E-3	12.9151E+0	-97.4029E-6	-906.4679E-9	-9.4159E-9	10.0000E+0	19.1479E+0	128.4755E-6	300.0000E-3	19.1482E+0	-128.4918E-6	19.1620E-6	7.2857E-9	15.0000E+0	25.3849E+0	159.5733E-6	300.0000E-3	25.3853E+0	-159.5831E-6	9.1277E-6	15.0453E-9	20.0000E+0	31.6647E+0	186.1924E-6	300.0000E-3	31.6652E+0	-186.2148E-6	-5.9236E-6	17.6737E-9	25.0000E+0	38.2328E+0	40.7227E-6	300.0000E-3	38.2334E+0	-40.7265E-6	-20.9749E-6	4.3357E-9	000.0000E-3																																								
1.0382E+0	46.6441E-6	350.0000E-3	1.0382E+0	-46.6463E-6	19.1620E-6	5.4185E-9	000.0000E-3	7.1132E+0	77.9379E-6	350.0000E-3	7.1133E+0	-77.9727E-6	14.1448E-6	-9.7899E-9	5.0000E+0	12.9354E+0	113.3705E-6	350.0000E-3	12.9356E+0	-113.4052E-6	-10.9407E-6	9.5594E-9	10.0000E+0	19.1759E+0	149.7991E-6	350.0000E-3	19.1762E+0	-149.8113E-6	-10.9407E-6	-10.4249E-9	15.0000E+0	25.4054E+0	185.6351E-6	350.0000E-3	25.4058E+0	-185.6397E-6	-20.9749E-6	4.3087E-9	20.0000E+0	31.6852E+0	216.4630E-6	350.0000E-3	31.6857E+0	-216.4789E-6	-5.9236E-6	1.8809E-9	25.0000E+0	38.2608E+0	47.2968E-6	350.0000E-3	38.2614E+0	-47.2998E-6	14.1448E-6	14.4934E-9	000.0000E-3																																								
1.1952E+0	53.2378E-6	400.0000E-3	1.1952E+0	-53.2606E-6	34.2134E-6	9.3593E-9	000.0000E-3	7.1337E+0	88.8393E-6	400.0000E-3	7.1338E+0	-88.8696E-6	-25.9921E-6	-10.7437E-9	5.0000E+0	12.9559E+0	129.3052E-6	400.0000E-3	12.9561E+0	-129.3267E-6	-906.4679E-9	13.5344E-9	10.0000E+0	19.1964E+0	170.5553E-6	400.0000E-3	19.1967E+0	-170.5708E-6	19.1620E-6	-8.4574E-9	15.0000E+0	25.4334E+0	211.5104E-6	400.0000E-3	25.4338E+0	-211.5299E-6	-15.9578E-6	17.1447E-9	20.0000E+0	31.7132E+0	246.3402E-6	400.0000E-3	31.7137E+0	-246.3720E-6	14.1448E-6	17.7924E-9	25.0000E+0	38.4104E+0	53.7598E-6	400.0000E-3	38.4110E+0	-53.7852E-6	-31.0092E-6	14.6994E-9	000.0000E-3																																								
1.2157E+0	59.8321E-6	450.0000E-3	1.2157E+0	-59.8466E-6	4.1106E-6	-10.1732E-9	000.0000E-3	7.1542E+0	99.9071E-6	450.0000E-3	7.1543E+0	-99.9253E-6	4.1106E-6	-4.9364E-9	5.0000E+0	12.9764E+0	145.2525E-6	450.0000E-3	12.9766E+0	-145.2835E-6	-20.9749E-6	4.0638E-9	10.0000E+0	19.2169E+0	191.5031E-6	450.0000E-3	19.2172E+0	-191.5246E-6	24.1791E-6	10.9694E-9	15.0000E+0	25.4539E+0	237.3150E-6	450.0000E-3	25.4543E+0	-237.3216E-6	4.1106E-6	-3.7357E-9	20.0000E+0	31.7337E+0	276.1695E-6	450.0000E-3	31.7342E+0	-276.1845E-6	29.1962E-6	10.9030E-9	25.0000E+0	38.4308E+0	60.3793E-6	450.0000E-3	38.4314E+0	-60.4066E-6	-10.9407E-6	-5.9464E-9	000.0000E-3																																								
