DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
350.8214E-9	-350.8893E-9	-1.9662E-9	-20.0000E+0	#REF	-165.0805E-6	14.2466E+0	684.9930E-9	-686.2005E-9	-1.6368E-9	-20.0000E+0	#REF	-324.8298E-6	13.9370E+0
463.3933E-9	-463.5117E-9	-1.6813E-9	-19.0000E+0	112.5719E-9	-160.2601E-6		898.1352E-9	-899.3752E-9	-1.4503E-9	-19.0000E+0	213.1422E-9	-315.2582E-6	
600.1072E-9	-601.3611E-9	-1.4587E-9	-18.0000E+0	136.7139E-9	-155.4398E-6		1.1620E-6	-1.1632E-6	-1.3473E-9	-18.0000E+0	263.9255E-9	-305.6867E-6	
766.3763E-9	-767.7172E-9	-1.3061E-9	-17.0000E+0	166.2692E-9	-150.6194E-6		1.4767E-6	-1.4779E-6	-1.2621E-9	-17.0000E+0	314.6940E-9	-296.1151E-6	
958.1304E-9	-959.3322E-9	-1.2335E-9	-16.0000E+0	191.7541E-9	-145.7991E-6		1.8462E-6	-1.8474E-6	-1.1823E-9	-16.0000E+0	369.4902E-9	-286.5436E-6	
1.1899E-6	-1.1911E-6	-1.1088E-9	-15.0000E+0	231.7993E-9	-140.9788E-6		2.2875E-6	-2.2886E-6	-1.1236E-9	-15.0000E+0	441.2666E-9	-276.9720E-6	
1.4526E-6	-1.4538E-6	-1.0607E-9	-14.0000E+0	262.7235E-9	-136.1584E-6		2.7892E-6	-2.7904E-6	-1.0323E-9	-14.0000E+0	501.7810E-9	-267.4005E-6	
1.7601E-6	-1.7613E-6	-930.0836E-12	-13.0000E+0	307.5006E-9	-131.3381E-6		3.3807E-6	-3.3819E-6	-949.9432E-12	-13.0000E+0	591.4669E-9	-257.8289E-6	
2.0921E-6	-2.0932E-6	-856.5574E-12	-12.0000E+0	331.9542E-9	-126.5177E-6		4.0453E-6	-4.0464E-6	-828.7640E-12	-12.0000E+0	664.5598E-9	-248.2574E-6	
2.4892E-6	-2.4903E-6	-732.8010E-12	-11.0000E+0	397.1120E-9	-121.6974E-6		4.7978E-6	-4.7989E-6	-718.4495E-12	-11.0000E+0	752.5696E-9	-238.6858E-6	
