DrainI(1)	SourceI(1)	GateI(1)	GateV(1)	GM(1)	IDLIN(1)	VT(1)	DrainI(2)	SourceI(2)	GateI(2)	GateV(2)	GM(2)	IDLIN(2)	VT(2)
361.2586E-9	-361.3665E-9	-1.9016E-9	-20.0000E+0	#REF	-497.6559E-6	21.9481E+0	818.4413E-9	-819.5946E-9	-1.7464E-9	-20.0000E+0	#REF	-905.9433E-6	18.4778E+0
449.2934E-9	-449.4221E-9	-1.6673E-9	-19.0000E+0	88.0348E-9	-485.7923E-6		1.0287E-6	-1.0299E-6	-1.5322E-9	-19.0000E+0	210.3091E-9	-882.3987E-6	
559.7801E-9	-561.0905E-9	-1.4997E-9	-18.0000E+0	110.4867E-9	-473.9287E-6		1.2815E-6	-1.2827E-6	-1.4584E-9	-18.0000E+0	252.7984E-9	-858.8542E-6	
687.4811E-9	-688.7776E-9	-1.3740E-9	-17.0000E+0	127.7011E-9	-462.0651E-6		1.5827E-6	-1.5840E-6	-1.3264E-9	-17.0000E+0	301.2304E-9	-835.3096E-6	
839.7193E-9	-841.0512E-9	-1.2661E-9	-16.0000E+0	152.2382E-9	-450.2015E-6		1.9291E-6	-1.9303E-6	-1.2040E-9	-16.0000E+0	346.3455E-9	-811.7651E-6	
1.0203E-6	-1.0215E-6	-1.1503E-9	-15.0000E+0	180.6118E-9	-438.3379E-6		2.3392E-6	-2.3404E-6	-1.0834E-9	-15.0000E+0	410.0946E-9	-788.2205E-6	
1.2282E-6	-1.2295E-6	-1.0575E-9	-14.0000E+0	207.9557E-9	-426.4743E-6		2.8275E-6	-2.8287E-6	-1.0079E-9	-14.0000E+0	488.3175E-9	-764.6759E-6	
1.4695E-6	-1.4707E-6	-938.4216E-12	-13.0000E+0	241.3001E-9	-414.6107E-6		3.4047E-6	-3.4058E-6	-894.0027E-12	-13.0000E+0	577.2479E-9	-741.1314E-6	
1.7582E-6	-1.7593E-6	-844.4799E-12	-12.0000E+0	288.6212E-9	-402.7471E-6		4.0801E-6	-4.0812E-6	-792.5315E-12	-12.0000E+0	675.3573E-9	-717.5868E-6	
2.0839E-6	-2.0850E-6	-718.1968E-12	-11.0000E+0	325.7220E-9	-390.8835E-6		4.8666E-6	-4.8677E-6	-749.6287E-12	-11.0000E+0	786.5046E-9	-694.0422E-6	
2.4682E-6	-2.4693E-6	-614.5527E-12	-10.0000E+0	384.3547E-9	-379.0199E-6		5.7794E-6	-5.7887E-6	-725.5242E-12	-10.0000E+0	912.7934E-9	-670.4977E-6	
2.9276E-6	-2.9287E-6	-553.6094E-12	-9.0000E+0	459.4003E-9	-367.1562E-6		6.8539E-6	-6.8632E-6	-595.6027E-12	-9.0000E+0	1.0745E-6	-646.9531E-6	
3.4591E-6	-3.4601E-6	-479.3758E-12	-8.0000E+0	531.4473E-9	-355.2926E-6		8.1061E-6	-8.1153E-6	-499.1344E-12	-8.0000E+0	1.2522E-6	-623.4086E-6	
4.0748E-6	-4.0759E-6	-410.4482E-12	-7.0000E+0	615.7611E-9	-343.4290E-6		9.5821E-6	-9.5911E-6	-404.8390E-12	-7.0000E+0	1.4759E-6	-599.8640E-6	
4.8098E-6	-4.8109E-6	-336.9220E-12	-6.0000E+0	734.9931E-9	-331.5654E-6		11.3007E-6	-11.3096E-6	-330.1000E-12	-6.0000E+0	1.7186E-6	-576.3194E-6	
5.6762E-6	-5.6852E-6	-299.5273E-12	-5.0000E+0	866.3510E-9	-319.7018E-6		13.3114E-6	-13.3202E-6	-267.9944E-12	-5.0000E+0	2.0107E-6	-552.7749E-6	
6.6889E-6	-6.6981E-6	-195.1722E-12	-4.0000E+0	1.0127E-6	-307.8382E-6		15.5813E-6	-15.5899E-6	-188.2993E-12	-4.0000E+0	2.2698E-6	-529.2303E-6	
7.8616E-6	-7.8705E-6	-118.7112E-12	-3.0000E+0	1.1726E-6	-295.9746E-6		18.2934E-6	-18.3020E-6	-135.5903E-12	-3.0000E+0	2.7121E-6	-505.6857E-6	
9.1961E-6	-9.2051E-6	-45.0298E-12	-2.0000E+0	1.3345E-6	-284.1110E-6		21.4073E-6	-21.4158E-6	-39.6224E-12	-2.0000E+0	3.1138E-6	-482.1412E-6	
10.7373E-6	-10.7460E-6	34.0589E-12	-1.0000E+0	1.5411E-6	-272.2474E-6		24.9205E-6	-24.9290E-6	31.1784E-12	-1.0000E+0	3.5132E-6	-458.5966E-6	
12.4026E-6	-12.4112E-6	109.8124E-12	000.0000E-3	1.6652E-6	-260.3838E-6		28.8662E-6	-28.8742E-6	110.7726E-12	000.0000E-3	3.9456E-6	-435.0521E-6	
14.3202E-6	-14.3288E-6	209.2167E-12	1.0000E+0	1.9176E-6	-248.5202E-6		33.1943E-6	-33.2024E-6	181.4218E-12	1.0000E+0	4.3281E-6	-411.5075E-6	
16.3898E-6	-16.3982E-6	276.2779E-12	2.0000E+0	2.0695E-6	-236.6565E-6		38.0605E-6	-38.0684E-6	268.4953E-12	2.0000E+0	4.8662E-6	-387.9629E-6	
18.6826E-6	-18.6909E-6	341.1661E-12	3.0000E+0	2.2927E-6	-224.7929E-6		43.3559E-6	-43.3636E-6	337.9318E-12	3.0000E+0	5.2953E-6	-364.4184E-6	
21.1321E-6	-21.1404E-6	414.7464E-12	4.0000E+0	2.4495E-6	-212.9293E-6		49.1861E-6	-49.1939E-6	411.4616E-12	4.0000E+0	5.8302E-6	-340.8738E-6	
23.7333E-6	-23.7414E-6	496.6147E-12	5.0000E+0	2.6011E-6	-201.0657E-6		55.3799E-6	-55.4724E-6	415.3528E-12	5.0000E+0	6.1938E-6	-317.3292E-6	
26.6422E-6	-26.6500E-6	567.3651E-12	6.0000E+0	2.9088E-6	-189.2021E-6		62.0702E-6	-62.1625E-6	523.1967E-12	6.0000E+0	6.6903E-6	-293.7847E-6	
29.7027E-6	-29.7105E-6	634.5273E-12	7.0000E+0	3.0605E-6	-177.3385E-6		69.4157E-6	-69.5067E-6	592.0266E-12	7.0000E+0	7.3454E-6	-270.2401E-6	
33.0052E-6	-33.0129E-6	708.0572E-12	8.0000E+0	3.3024E-6	-165.4749E-6		77.2517E-6	-77.3439E-6	660.5534E-12	8.0000E+0	7.8360E-6	-246.6956E-6	
36.4578E-6	-36.4654E-6	785.0234E-12	9.0000E+0	3.4525E-6	-153.6113E-6		85.6868E-6	-85.7780E-6	728.8275E-12	9.0000E+0	8.4350E-6	-223.1510E-6	
40.1176E-6	-40.1254E-6	818.7309E-12	10.0000E+0	3.6598E-6	-141.7477E-6		94.4624E-6	-94.5529E-6	827.0695E-12	10.0000E+0	8.7755E-6	-199.6064E-6	
43.9909E-6	-43.9985E-6	912.7784E-12	11.0000E+0	3.8732E-6	-129.8841E-6		103.7886E-6	-103.8786E-6	912.2226E-12	11.0000E+0	9.3261E-6	-176.0619E-6	
48.1213E-6	-48.1287E-6	989.0877E-12	12.0000E+0	4.1303E-6	-118.0205E-6		113.7382E-6	-113.8285E-6	998.3357E-12	12.0000E+0	9.9496E-6	-152.5173E-6	
52.2166E-6	-52.3062E-6	984.7920E-12	13.0000E+0	4.0953E-6	-106.1568E-6		124.0097E-6	-124.0987E-6	1.0714E-9	13.0000E+0	10.2715E-6	-128.9728E-6	
56.7129E-6	-56.8013E-6	1.1240E-9	14.0000E+0	4.4962E-6	-94.2932E-6		134.7150E-6	-134.8052E-6	1.1560E-9	14.0000E+0	10.7052E-6	-105.4282E-6	
61.4494E-6	-61.5389E-6	1.2322E-9	15.0000E+0	4.7365E-6	-82.4296E-6		146.0711E-6	-146.1601E-6	1.2277E-9	15.0000E+0	11.3561E-6	-81.8836E-6	
66.4216E-6	-66.5106E-6	1.3133E-9	16.0000E+0	4.9721E-6	-70.5660E-6		158.0808E-6	-158.1681E-6	1.2970E-9	16.0000E+0	12.0097E-6	-58.3390E-6	
71.4470E-6	-71.5365E-6	1.4067E-9	17.0000E+0	5.0254E-6	-58.7024E-6		170.0423E-6	-170.1308E-6	1.3033E-9	17.0000E+0	11.9614E-6	-34.7945E-6	
76.8069E-6	-76.8959E-6	1.4922E-9	18.0000E+0	5.3599E-6	-46.8388E-6		182.8071E-6	-182.8948E-6	1.3938E-9	18.0000E+0	12.7648E-6	-11.2499E-6	
82.4330E-6	-82.5217E-6	1.5455E-9	19.0000E+0	5.6260E-6	-34.9751E-6		196.0112E-6	-196.0988E-6	1.5216E-9	19.0000E+0	13.2040E-6	12.2946E-6	
88.2025E-6	-88.2917E-6	1.6285E-9	20.0000E+0	5.7695E-6	-23.1115E-6		209.2062E-6	-209.2929E-6	1.5864E-9	20.0000E+0	13.1950E-6	35.8391E-6	
94.2841E-6	-94.3720E-6	1.6925E-9	21.0000E+0	6.0815E-6	-11.2479E-6		223.2448E-6	-223.3316E-6	1.7106E-9	21.0000E+0	14.0385E-6	59.3837E-6	
100.4254E-6	-100.5135E-6	1.7690E-9	22.0000E+0	6.1412E-6	615.6333E-9		237.4941E-6	-237.5801E-6	1.7691E-9	22.0000E+0	14.2492E-6	82.9283E-6	
106.7400E-6	-106.8282E-6	1.8280E-9	23.0000E+0	6.3146E-6	12.4792E-6		252.5064E-6	-252.5931E-6	1.8806E-9	23.0000E+0	15.0122E-6	106.4729E-6	
